                                    mean       sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd   ess_bulk   ess_tail  r_hat
A[0, 0]                         1291.334  158.794   995.565  1585.385      1.374    1.124  13243.935  11153.143  1.000
A[0, 1]                          875.930  158.017   569.672  1156.611      1.374    1.126  13112.280  11216.304  1.000
A[0, 2]                         2378.288  180.351  2045.768  2728.121      1.667    1.434  11706.136  10725.115  1.000
A[0, 3]                         4784.564  185.792  4430.636  5136.497      1.720    1.472  11678.469  10889.243  1.000
A[1, 0]                         1494.069  168.488  1174.586  1800.107      1.413    1.226  14082.910  10711.886  1.000
A[1, 1]                          958.074  167.888   650.533  1276.449      1.419    1.229  13883.396  11141.244  1.000
A[1, 2]                         2393.340  170.437  2069.062  2708.618      1.662    1.359  10562.274  10832.047  1.000
A[1, 3]                         4505.719  175.663  4179.384  4837.373      1.713    1.402  10544.081  10678.093  1.000
A[2, 0]                         1739.613  150.644  1459.917  2018.948      1.272    1.159  13962.897  11178.892  1.000
A[2, 1]                         1031.732  150.204   753.627  1311.640      1.276    1.162  13794.222  10939.491  1.000
A[2, 2]                         2287.871  160.186  1982.291  2587.706      1.536    1.226  10901.056  10785.477  1.001
A[2, 3]                         4079.957  165.271  3766.786  4391.849      1.583    1.273  10921.995  10579.604  1.000
A[3, 0]                         1878.640  159.329  1574.952  2164.361      1.445    1.233  12199.788  11372.476  1.000
A[3, 1]                         1201.602  159.238   910.414  1500.138      1.447    1.231  12129.155  11618.935  1.000
A[3, 2]                         3589.870  105.705  3393.593  3789.492      1.077    0.867   9689.047  10394.989  1.000
A[3, 3]                         2833.062  107.561  2634.867  3037.251      1.098    0.872   9643.172   9872.254  1.000
A[4, 0]                         1769.905  145.256  1494.242  2042.793      1.317    1.104  12129.749  10484.303  1.000
A[4, 1]                         1361.906  145.561  1072.442  1623.210      1.329    1.100  11959.366  10524.354  1.000
A[4, 2]                         3261.639  153.868  2973.199  3544.810      1.553    1.207   9950.604  10001.111  1.001
A[4, 3]                         3129.981  156.110  2826.701  3408.490      1.572    1.218   9988.994   9939.948  1.001
A_total[0]                      9330.116   30.712  9271.734  9387.539      0.248    0.187  15326.685  15256.329  1.000
A_total[1]                      9351.203   31.170  9291.357  9409.195      0.240    0.191  16797.079  14767.854  1.000
A_total[2]                      9139.182   29.240  9084.888  9195.501      0.229    0.179  16269.491  15242.967  1.000
A_total[3]                      9503.190   32.407  9441.250  9563.170      0.255    0.200  16179.821  14800.986  1.000
A_total[4]                      9523.394   26.199  9474.503  9573.365      0.213    0.169  15143.325  14406.266  1.000
A_total_chemical_logical[0, 0]  2167.264   21.651  2124.439  2206.167      0.170    0.141  16169.490  14493.558  1.000
A_total_chemical_logical[0, 1]  7162.858   22.012  7121.632  7204.684      0.176    0.138  15704.622  13427.605  1.000
A_total_chemical_logical[1, 0]  2452.147   22.287  2409.485  2493.641      0.170    0.144  17124.832  14594.413  1.001
A_total_chemical_logical[1, 1]  6899.054   21.979  6856.972  6939.464      0.172    0.139  16274.220  14868.742  1.000
A_total_chemical_logical[2, 0]  2771.343   20.982  2732.532  2812.105      0.165    0.140  16257.947  14558.705  1.000
A_total_chemical_logical[2, 1]  6367.822   20.696  6329.431  6406.969      0.163    0.129  16025.359  15351.473  1.000
