                               mean      sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
alpha[0, 0]                   0.003   0.002    -0.000     0.007      0.000    0.000  8365.369  2696.759  1.007
alpha[0, 1]                   0.000   0.000     0.000     0.000      0.000      NaN  4000.000  4000.000    NaN
alpha[1, 0]                  -0.030   0.002    -0.033    -0.026      0.000    0.000  9340.508  2973.769  1.002
alpha[1, 1]                  -0.015   0.002    -0.018    -0.011      0.000    0.000  8696.949  2631.204  1.003
mu_center[0]                  2.709   0.000     2.708     2.709      0.000    0.000  4210.236  3170.530  1.000
mu_center[1]                  3.031   0.000     3.030     3.031      0.000    0.000  4207.198  3518.010  1.001
mu_trace_offset[0, 0]         0.000   0.000    -0.000     0.000      0.000    0.000  3974.913  3325.688  1.002
mu_trace_offset[0, 1]         0.000   0.000    -0.000     0.000      0.000    0.000  4365.844  2902.212  1.002
mu_trace_offset[1, 0]         0.000   0.000    -0.000     0.000      0.000    0.000  4077.156  3116.696  1.002
mu_trace_offset[1, 1]        -0.000   0.000    -0.000     0.000      0.000    0.000  4069.747  3005.354  1.004
mu_trace_offset[2, 0]         0.000   0.000    -0.000     0.000      0.000    0.000  4342.301  3529.656  1.000
mu_trace_offset[2, 1]        -0.000   0.000    -0.000     0.000      0.000    0.000  3577.675  2337.861  1.006
mu_trace_offset[3, 0]        -0.000   0.000    -0.000     0.000      0.000    0.000  3891.092  3350.937  1.001
mu_trace_offset[3, 1]         0.000   0.000    -0.000     0.000      0.000    0.000  4005.531  2433.811  1.004
mu_trace_offset[4, 0]        -0.000   0.000    -0.000    -0.000      0.000    0.000  3910.442  3656.707  1.001
mu_trace_offset[4, 1]        -0.000   0.000    -0.000     0.000      0.000    0.000  3934.592  2532.215  1.002
separation[0]                 0.092   0.001     0.090     0.094      0.000    0.000  1723.339  2324.762  1.006
A_total[0, 0]              2511.348  17.111  2478.802  2542.631      0.268    0.276  4086.094  2892.557  1.004
A_total[0, 1]              2216.643  21.912  2175.547  2257.282      0.460    0.355  2282.022  2407.804  1.001
A_total[1, 0]              2742.581  18.457  2708.698  2778.792      0.288    0.324  4113.433  2814.976  1.000
A_total[1, 1]              1476.122  22.899  1434.408  1519.985      0.474    0.347  2334.171  2715.741  1.001
A_total[2, 0]              2588.399  14.581  2561.103  2616.252      0.231    0.225  3999.660  2955.141  1.001
A_total[2, 1]               440.586  18.346   406.990   475.721      0.345    0.290  2821.131  2542.743  1.003
A_total[3, 0]              1864.044   9.373  1847.178  1882.337      0.148    0.148  3985.545  2888.314  1.005
A_total[3, 1]               117.903  11.183    97.081   138.296      0.241    0.160  2169.570  2959.494  1.001
A_total[4, 0]              1708.641  10.086  1689.865  1727.203      0.166    0.168  3745.050  2805.941  1.001
A_total[4, 1]               118.666  12.244    96.265   141.623      0.244    0.191  2545.915  2483.094  1.003
area_split_shoulder[0, 0]     0.938   0.006     0.925     0.949      0.000    0.000  2331.608  2493.560  1.000
area_split_shoulder[1, 0]     0.947   0.010     0.928     0.966      0.000    0.000  2160.656  1985.991  1.002
area_split_shoulder[2, 0]     0.877   0.024     0.833     0.924      0.000    0.000  2676.564  2020.293  1.004
area_split_shoulder[3, 0]     0.322   0.058     0.206     0.422      0.001    0.001  2768.891  2209.912  1.002
area_split_shoulder[4, 0]     0.302   0.061     0.184     0.416      0.001    0.001  2763.450  2111.887  1.001
baseline_intercept[0]       144.103  21.661   101.881   182.756      0.333    0.387  4237.793  2839.373  1.000
baseline_intercept[1]        77.002  24.254    33.862   124.993      0.417    0.373  3375.130  3060.141  1.001
baseline_intercept[2]       113.828  26.514    64.341   165.204      0.421    0.417  3947.096  3066.980  1.005
baseline_intercept[3]        53.601  18.878    14.173    86.083      0.338    0.290  3113.942  2638.453  1.001
baseline_intercept[4]       107.884  17.793    73.733   139.793      0.258    0.266  4751.510  3320.667  1.000
baseline_slope[0]           109.395   5.335    99.099   119.159      0.089    0.079  3574.008  3354.127  1.001
baseline_slope[1]           109.080   5.789    98.181   119.588      0.082    0.088  4997.471  2977.912  1.003
baseline_slope[2]           107.065   6.491    94.245   119.118      0.098    0.106  4424.615  3009.860  1.002
baseline_slope[3]           125.694   4.515   117.292   134.364      0.080    0.067  3180.564  2647.013  1.001
baseline_slope[4]           117.216   4.446   108.997   125.571      0.069    0.074  4178.269  2687.369  1.003
sigma_y[0]                  587.158  81.667   439.845   737.206      1.911    1.393  1854.124  2397.365  1.006
sigma_y[1]                  625.209  73.392   493.515   767.328      1.613    1.114  2056.779  2648.774  1.003
sigma_y[2]                  499.711  46.837   412.409   584.255      0.879    0.833  2931.244  2730.268  1.003
sigma_y[3]                  308.790  32.153   253.868   370.975      0.653    0.556  2528.140  2624.057  1.003
sigma_y[4]                  342.691  39.529   269.052   415.098      0.774    0.638  2681.518  2554.951  1.003
